,dataset,method,cell,run,k,resolution,cluster,trueclass,est_k,elapsed
1,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6276,1,2,,2.0,b.cells,,120.97
2,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6144,1,2,,1.0,b.cells,,120.97
3,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6285,1,2,,1.0,b.cells,,120.97
4,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8679,1,2,,1.0,b.cells,,120.97
5,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells96,1,2,,1.0,b.cells,,120.97
6,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2344,1,2,,1.0,b.cells,,120.97
7,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6713,1,2,,1.0,b.cells,,120.97
8,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5182,1,2,,1.0,b.cells,,120.97
9,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6988,1,2,,2.0,b.cells,,120.97
10,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5491,1,2,,1.0,b.cells,,120.97
11,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9301,1,2,,2.0,b.cells,,120.97
12,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2944,1,2,,1.0,b.cells,,120.97
13,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8432,1,2,,2.0,b.cells,,120.97
14,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2882,1,2,,1.0,b.cells,,120.97
15,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2687,1,2,,2.0,b.cells,,120.97
16,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2338,1,2,,2.0,b.cells,,120.97
17,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3187,1,2,,2.0,b.cells,,120.97
18,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1601,1,2,,1.0,b.cells,,120.97
19,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells403,1,2,,2.0,b.cells,,120.97
20,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8155,1,2,,1.0,b.cells,,120.97
21,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5288,1,2,,2.0,b.cells,,120.97
22,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8361,1,2,,1.0,b.cells,,120.97
23,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4586,1,2,,1.0,b.cells,,120.97
24,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2667,1,2,,1.0,b.cells,,120.97
25,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3063,1,2,,1.0,b.cells,,120.97
26,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5100,1,2,,1.0,b.cells,,120.97
27,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1821,1,2,,1.0,b.cells,,120.97
28,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7635,1,2,,1.0,b.cells,,120.97
29,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2023,1,2,,1.0,b.cells,,120.97
30,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2601,1,2,,1.0,b.cells,,120.97
31,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9969,1,2,,1.0,b.cells,,120.97
32,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8111,1,2,,1.0,b.cells,,120.97
33,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5559,1,2,,1.0,b.cells,,120.97
34,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6493,1,2,,1.0,b.cells,,120.97
35,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3132,1,2,,2.0,b.cells,,120.97
36,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6245,1,2,,1.0,b.cells,,120.97
37,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3312,1,2,,2.0,b.cells,,120.97
38,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5041,1,2,,1.0,b.cells,,120.97
39,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6798,1,2,,1.0,b.cells,,120.97
40,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4869,1,2,,1.0,b.cells,,120.97
41,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2449,1,2,,2.0,b.cells,,120.97
42,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7683,1,2,,1.0,b.cells,,120.97
43,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells741,1,2,,1.0,b.cells,,120.97
44,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3108,1,2,,1.0,b.cells,,120.97
45,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5062,1,2,,1.0,b.cells,,120.97
46,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1535,1,2,,1.0,b.cells,,120.97
47,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5055,1,2,,1.0,b.cells,,120.97
48,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4954,1,2,,1.0,b.cells,,120.97
49,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7534,1,2,,2.0,b.cells,,120.97
50,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1752,1,2,,1.0,b.cells,,120.97
51,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8506,1,2,,1.0,b.cells,,120.97
52,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8670,1,2,,1.0,b.cells,,120.97
53,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells420,1,2,,1.0,b.cells,,120.97
54,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3180,1,2,,1.0,b.cells,,120.97
55,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells138,1,2,,1.0,b.cells,,120.97
56,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells2396,1,2,,1.0,b.cells,,120.97
57,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7080,1,2,,1.0,b.cells,,120.97
58,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3087,1,2,,1.0,b.cells,,120.97
59,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5095,1,2,,1.0,b.cells,,120.97
60,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells518,1,2,,1.0,b.cells,,120.97
61,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5655,1,2,,2.0,b.cells,,120.97
62,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1217,1,2,,1.0,b.cells,,120.97
63,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8941,1,2,,1.0,b.cells,,120.97
64,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells147,1,2,,1.0,b.cells,,120.97
65,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells7841,1,2,,1.0,b.cells,,120.97
66,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells901,1,2,,1.0,b.cells,,120.97
67,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells5198,1,2,,1.0,b.cells,,120.97
68,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3847,1,2,,1.0,b.cells,,120.97
69,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells702,1,2,,1.0,b.cells,,120.97
70,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3209,1,2,,1.0,b.cells,,120.97
71,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells6689,1,2,,1.0,b.cells,,120.97
72,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells9269,1,2,,1.0,b.cells,,120.97
73,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells4721,1,2,,1.0,b.cells,,120.97
74,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1427,1,2,,1.0,b.cells,,120.97
75,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1962,1,2,,1.0,b.cells,,120.97
76,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8986,1,2,,1.0,b.cells,,120.97
77,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3895,1,2,,1.0,b.cells,,120.97
78,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells3109,1,2,,1.0,b.cells,,120.97
79,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8959,1,2,,1.0,b.cells,,120.97
80,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells1664,1,2,,1.0,b.cells,,120.97
81,sce_filteredExpr10_Zhengmix4eq,PCAKmeans,b.cells8999,1,2,,2.0,b.cells,,120.97
